DYNAMIXEL_SHIELD,,,,,,,,
N° Mouser ,N° de fab. ,Fabricant,Description ,RoHS,Cycle de vie,Qté.,Prix (EUR),Poste: (EUR)
511-STD96N3LLH6,STD96N3LLH6,STMicroelectronics,MOSFET N-Ch 30V 0.0037 Ohm 80A STripFET VI,RoHS : conforme,,1,"€ 0,679","€ 0,68"
621-74AHCT1G126SE-7,74AHCT1G126SE-7,Diodes Incorporated,Tampons et circuits d’excitation AHC TTL Compatible LOGIC,RoHS : conforme,,1,"€ 0,22","€ 0,22"
621-74AHC1G125SE-7,74AHC1G125SE-7,Diodes Incorporated,Tampons et circuits d’excitation SINGLE NON INVERTING DRIVER 3-STATE,RoHS : conforme,,1,"€ 0,256","€ 0,26"
576-01110501Z,01110501Z,Littelfuse,Mâchoires ACS 2AG PC MNT CLIP,RoHS : conforme,,2,"€ 0,109","€ 0,22"
530-5ST10-R,5ST 10-R,Bel,Fusibles à cartouche  Fuse,RoHS : conforme,,1,"€ 0,192","€ 0,19"
538-22-03-5035,22-03-5035,Molex,Embases et logements de câbles 2.5 VERT HDR SPOX 3P shrouded,RoHS : conforme,,2,"€ 0,443","€ 0,89"
538-22-05-7035,22-05-7035,Molex,Embases et logements de câbles 3 CKT 2.5MM R/A HDR,RoHS : conforme,,4,"€ 0,471","€ 1,88"
490-PJ-102AH,PJ-102AH,CUI Inc.,Connecteurs d'alimentation continue Power Jacks,RoHS : conforme,Nouveau chez Mouser,1,"€ 1,08","€ 1,08"
667-ERJ-3GEYJ103V,ERJ-3GEYJ103V,Panasonic,Résistances à couches épaisses - CMS 0603 10Kohms 5% AEC-Q200,Conforme à RoHS par dispense,,3,"€ 0,091","€ 0,27"
630-HSMC-C130,HSMC-C130,Broadcom Limited,DEL standard - CMS Red Thin Profile 155lm,RoHS : conforme,,1,"€ 0,08","€ 0,08"
649-68786-102LF,68786-102LF,FCI / Amphenol,"Embases et logements de câbles SHUNT 15u"" GOLD",RoHS : conforme,,4,"€ 0,172","€ 0,69"
485-85,85,Adafruit,Accessoires Adafruit Shield stacking headers for Arduino (R3 Compatible),RoHS : conforme,,1,"€ 1,76","€ 1,76"
571-1776493-2,1776493-2,TE Connectivity,Borniers fixes SIDE WIRE ENTRY TB 5.08MM BL,RoHS : conforme,,1,"€ 0,31","€ 0,31"
530-5VT5-R,5VT 5 -R,Bel,Fusibles à cartouche  ,RoHS : conforme,,1,"€ 0,183","€ 0,18"
647-UWT1E470MCL6S,UWT1E470MCL6GS,Nichicon,Condensateurs électrolytiques en aluminium - CMS 25volts 47uF 6.3x5.8 20%,RoHS : conforme,,1,"€ 0,284","€ 0,28"
571-826947-3,826947-3,TE Connectivity,Embases et logements de câbles 2X03 POS VERT TIN,RoHS : conforme,,1,"€ 0,188","€ 0,19"
571-4-103321-5,4-103321-5,TE Connectivity,Embases et logements de câbles 03 MODII HDR SRST B/A .100CL,RoHS : conforme,,1,"€ 0,094","€ 0,09"
571-5-146274-4,5-146274-4,TE Connectivity,Embases et logements de câbles 4P HEADER TIN single row,RoHS : conforme,,3,"€ 0,16","€ 0,48"
